Weight,Name,Status
63000,./bestiary/bestiary-ai.json,NO-TRADUÏT
65000,./bestiary/fluff-bestiary-toa.json,NO-TRADUÏT
66000,./trapshazards.json,NO-TRADUÏT
67000,./loot.json,NO-TRADUÏT
69000,./adventure/adventure-tor.json,fora-d'àmbit
70000,./book/book-mm.json,NO-TRADUÏT
70000,./bestiary/fluff-bestiary-mot.json,NO-TRADUÏT
71000,./vehicles.json,NO-TRADUÏT
72000,./fluff-recipes.json,NO-TRADUÏT
72000,./adventure/adventure-lr.json,fora-d'àmbit
72000,./fluff-items.json,NO-TRADUÏT
74000,./bestiary/fluff-bestiary-vrgr.json,NO-TRADUÏT
75000,./bestiary/fluff-bestiary-wdh.json,NO-TRADUÏT
77000,./adventure/adventure-efr.json,fora-d'àmbit
77000,./bestiary/fluff-bestiary-erlw.json,NO-TRADUÏT
77000,./magicvariants.json,NO-TRADUÏT
79000,./class/class-sidekick.json,NO-TRADUÏT
86000,./bestiary/bestiary-egw.json,NO-TRADUÏT
86000,./adventure/adventure-us.json,fora-d'àmbit
87000,./cultsboons.json,NO-TRADUÏT
90000,./spells/roll20.json,NO-TRADUÏT
91000,./adventure/adventure-tftyp-wpm.json,fora-d'àmbit
92000,./bestiary/bestiary-bgdia.json,NO-TRADUÏT
92000,./bestiary/bestiary-oota.json,NO-TRADUÏT
93000,./bestiary/fluff-bestiary-idrotf.json,NO-TRADUÏT
95000,./adventure/adventure-fs.json,fora-d'àmbit
97000,./class/foundry.json,NO-TRADUÏT
98000,./bestiary/bestiary-cos.json,NO-TRADUÏT
99000,./adventure/adventure-dd.json,fora-d'àmbit
106000,./bestiary/bestiary-vrgr.json,NO-TRADUÏT
106000,./psionics.json,NO-TRADUÏT
108000,./fluff-backgrounds.json,NO-TRADUÏT
110000,./bestiary/bestiary-cm.json,NO-TRADUÏT
115000,./bestiary/bestiary-gos.json,NO-TRADUÏT
119000,./bestiary/bestiary-wdmm.json,NO-TRADUÏT
119000,./bestiary/bestiary-pota.json,NO-TRADUÏT
120000,./class/class-barbarian.json,srd-traduït
120000,./adventure/adventure-hol.json,fora-d'àmbit
121000,./bestiary/bestiary-erlw.json,NO-TRADUÏT
125000,./bestiary/fluff-bestiary-skt.json,NO-TRADUÏT
127000,./class/class-rogue.json,srd-traduït
128000,./bestiary/fluff-bestiary-ggr.json,NO-TRADUÏT
134000,./class/class-monk.json,srd-traduït
136000,./bestiary/bestiary-tftyp.json,NO-TRADUÏT
136000,./bestiary/bestiary-mot.json,NO-TRADUÏT
137000,./adventure/adventure-tftyp-toh.json,fora-d'àmbit
138000,./adventure/adventure-ttp.json,fora-d'àmbit
138000,./bestiary/bestiary-toa.json,NO-TRADUÏT
144000,./bestiary/legendarygroups.json,NO-TRADUÏT
149000,./class/class-bard.json,srd-traduït
152000,./changelog.json,NO-TRADUÏT
159000,./bestiary/bestiary-skt.json,NO-TRADUÏT
162000,./feats.json,NO-TRADUÏT
163000,./roll20-tables.json,NO-TRADUÏT
164000,./class/class-druid.json,srd-traduït
167000,./class/class-paladin.json,srd-traduït
169000,./optionalfeatures.json,srd-traduït
172000,./adventure/adventure-tftyp-tsc.json,fora-d'àmbit
